Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
MARUTI,INE585B01010,1,7700,6934,-766,-9.9481,16152,2,,11121,21183,190.4775,2021
MINDACORP,INE842C01021,19,2935.95,2489.9,-446.05,-15.1927,0,0,,0,0,0,2021
NBCC,INE095N01031,86,3401.85,4579.5,1177.65,34.6179,0,0,,0,0,0,2021
NESTLEIND,INE239A01024,0,0,0,0,0,1307.5,1,,10162,-8854.5,-87.1334,2021
PEL,INE140A01024,8,15016.2,15131.6,115.4,0.7685,0,0,,0,0,0,2021
RAIN,INE855B01025,0,0,0,0,0,144.78,207,,20073.05,9896.41,49.302,2021
RANEHOLDIN,INE384A01010,3,6190.6,1906.05,-4284.55,-69.2106,0,0,,0,0,0,2021
RELIANCE,INE002A01018,0,0,0,0,0,1458.8,18,,22716.1,3542.3,15.5938,2021
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2021
TCS,INE467B01029,0,0,0,0,0,3192.5,4,,7569.8,5200.2,68.6967,2021
TMPV,INE155A01022,42,9686.75,10685.85,999.1,10.3141,0,0,,0,0,0,2021
VIPIND,INE054A01027,0,0,0,0,0,363.1,46,,13057.85,3644.75,27.9123,2021
ABBOTINDIA,INE358A01014,2,22289.8,45349.35,23059.55,103.4534,0,0,,0,0,0,2023
ABFRL,INE647O01011,125,24237.75,26443.75,2206,9.1015,0,0,,0,0,0,2023
AFFLE,INE00WC01027,40,40239.3,39234,-1005.3,-2.4983,0,0,,0,0,0,2023
AMBIKCO,INE540G01014,16,23840.85,24098.25,257.4,1.0797,0,0,,0,0,0,2023
ANGELONE,INE732I01013,0,0,0,0,0,2525.4,64,,108469.4,53156.2,49.0057,2023
APARINDS,INE372A01015,1,3779.3,4905.05,1125.75,29.7873,0,0,,0,0,0,2023
APTUS,INE852O01025,289,76170.1,77523.85,1353.75,1.7773,0,0,,0,0,0,2023
ASIANPAINT,INE021A01026,16,35022.8,53991.5,18968.7,54.161,0,0,,0,0,0,2023
ASTRAL,INE006I01046,16,23479.3,30556.85,7077.55,30.1438,0,0,,0,0,0,2023
BAJFINANCE,INE296A01032,0,0,0,0,0,946.1,24,,158383.85,-135677.45,-85.6637,2023
BILNCD2021-N3,INE216A08027,0,0,0,0,0,30.22,6,,0,181.32,0,2023
BRITANNIA,INE216A01030,12,44887.85,53271.45,8383.6,18.6768,0,0,,0,0,0,2023
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2023
CDSL,INE736A01011,5,4975.15,5218.5,243.35,4.8913,1415.6,96,,108926.9,26970.7,24.7604,2023
CELLO,INE0LMW01024,10,7885,7864.5,-20.5,-0.26,0,0,,0,0,0,2023
